Timestamp,Boxes
3/19/21 11:28,New York
3/19/21 12:11,"District of Columbia, Florida, Georgia, New York, Tennessee"
3/19/21 12:11,"California, Delaware, Guam, Illinois, New York, Virginia, Washington"
3/19/21 12:11,"California, Connecticut, Delaware, District of Columbia, Florida, Illinois, Maryland, Massachusetts, Nevada, New Jersey, New York, Pennsylvania, Texas, Washington"
3/19/21 12:12,"California, District of Columbia, Maryland, Massachusetts, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Carolina, Virginia, West Virginia"
3/19/21 12:14,"California, Connecticut, District of Columbia, Florida, Maine, Massachusetts, New Hampshire, New York, Rhode Island, Vermont, Virginia"
3/19/21 12:14,"Arizona, California, Massachusetts, New Jersey, New York, Pennsylvania, Texas, Washington"
3/19/21 12:17,"California, Florida, Massachusetts, New Jersey, New York"
3/19/21 12:23,Texas
3/19/21 12:24,"Florida, Massachusetts, New Jersey, New York, Pennsylvania"
3/19/21 12:24,"California, Colorado, Connecticut, Florida, Georgia, Hawaii, Maine, Massachusetts, New Hampshire, New Jersey, North Carolina, Pennsylvania, Puerto Rico, Rhode Island"
3/19/21 12:24,"California, New York, Texas"
3/19/21 12:25,"California, Delaware, District of Columbia, Florida, Maine, Massachusetts, New Jersey, New York, Pennsylvania"
3/19/21 12:25,"Arizona, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Idaho, Illinois, Maine, Maryland, Massachusetts, Michigan, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Rhode Island, Utah, Vermont, Virginia, Washington, Wyoming"
3/19/21 12:25,"Arizona, California, Delaware, District of Columbia, Florida, Georgia, Hawaii, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Carolina, Utah, Vermont, Virginia, West Virginia"
3/19/21 12:26,"Florida, Maine, Massachusetts, New Hampshire, New York, Vermont"
3/19/21 12:26,"Arizona, California, Connecticut, District of Columbia, Florida, Illinois, Maine, Maryland, Massachusetts, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Texas, Vermont, Virginia"
3/19/21 12:26,"Massachusetts, New York, Pennsylvania, Texas"
3/19/21 12:28,"New Jersey, New York, Pennsylvania"
3/19/21 12:28,"Alaska, California, Connecticut, District of Columbia, Florida, Hawaii, Maine, Maryland, Massachusetts, Nevada, New Hampshire, New Jersey, New York, Pennsylvania, Puerto Rico, Rhode Island, Utah, Vermont, Virginia, Wyoming"
